半金比率,ドーピング濃度,予測_抵抗減少量
82,4.3000000000000025,0.09316350400000001
83,4.3000000000000025,0.09316350400000001
84,4.3000000000000025,0.09316350400000001
85,4.3000000000000025,0.09316350400000001
86,4.3000000000000025,0.09316350400000001
87,4.3000000000000025,0.09316350400000001
88,4.3000000000000025,0.09316350400000001
89,4.3000000000000025,0.09316350400000001
90,4.3000000000000025,0.09316350400000001
91,4.3000000000000025,0.09316350400000001
92,4.3000000000000025,0.09316350400000001
93,4.3000000000000025,0.05128194
94,4.3000000000000025,0.05128194
95,4.3000000000000025,0.05128194
96,4.3000000000000025,0.05128194
97,4.3000000000000025,0.05128194
98,4.3000000000000025,0.0233146252
99,4.3000000000000025,0.0233146252
100,4.3000000000000025,0.0233146252
80,4.400000000000003,0.09316350400000001
81,4.400000000000003,0.09316350400000001
82,4.400000000000003,0.09316350400000001
83,4.400000000000003,0.09316350400000001
84,4.400000000000003,0.09316350400000001
85,4.400000000000003,0.09316350400000001
86,4.400000000000003,0.09316350400000001
87,4.400000000000003,0.09316350400000001
88,4.400000000000003,0.09316350400000001
89,4.400000000000003,0.09316350400000001
90,4.400000000000003,0.09316350400000001
91,4.400000000000003,0.09316350400000001
92,4.400000000000003,0.09316350400000001
93,4.400000000000003,0.05128194
94,4.400000000000003,0.05128194
95,4.400000000000003,0.05128194
96,4.400000000000003,0.05128194
97,4.400000000000003,0.05128194
98,4.400000000000003,0.0233146252
99,4.400000000000003,0.0233146252
100,4.400000000000003,0.0233146252
80,4.5000000000000036,0.09316350400000001
81,4.5000000000000036,0.09316350400000001
82,4.5000000000000036,0.09316350400000001
83,4.5000000000000036,0.09316350400000001
84,4.5000000000000036,0.09316350400000001
85,4.5000000000000036,0.09316350400000001
86,4.5000000000000036,0.09316350400000001
87,4.5000000000000036,0.09316350400000001
88,4.5000000000000036,0.09316350400000001
89,4.5000000000000036,0.09316350400000001
90,4.5000000000000036,0.09316350400000001
91,4.5000000000000036,0.09316350400000001
92,4.5000000000000036,0.09316350400000001
